Timestamp (ms),Temperature (°C)
1969641.0,48.41
1969947.0,48.4
1970253.0,48.4
1970559.0,48.4
1970865.0,48.4
1971171.0,48.39
1971477.0,48.39
1971783.0,48.38
1972089.0,48.38
1972395.0,48.38
1972701.0,48.37
1973007.0,48.36
1973313.0,48.36
1973619.0,48.36
1973925.0,48.36
1974231.0,48.34
1974537.0,48.35
1974843.0,48.34
1975149.0,48.34
1975455.0,48.34
1975761.0,48.33
1976067.0,48.33
1976373.0,48.33
1976679.0,48.32
1976985.0,48.32
1977291.0,48.31
1977597.0,48.31
1977903.0,48.32
1978209.0,48.31
1978515.0,48.31
1978821.0,48.29
1979127.0,48.29
1979433.0,48.29
1979739.0,48.29
1980045.0,48.29
1980351.0,48.29
1980657.0,48.29
1980963.0,48.28
1981269.0,48.28
1981575.0,48.27
1981881.0,48.27
1982187.0,48.27
1982493.0,48.26
1982799.0,48.25
1983105.0,48.25
1983411.0,48.25
1983717.0,48.25
1984023.0,48.25
1984329.0,48.26
1984635.0,48.25
1984941.0,48.23
1985247.0,48.24
1985553.0,48.25
1985859.0,48.24
1986165.0,48.23
1986471.0,48.22
1986777.0,48.23
1987083.0,48.23
1987389.0,48.22
1987695.0,48.23
1988001.0,48.22
1988307.0,48.21
1988613.0,48.22
1988919.0,48.21
1989225.0,48.22
1989531.0,48.21
1989837.0,48.22
1990143.0,48.22
1990449.0,48.23
1990755.0,48.21
1991061.0,48.22
1991367.0,48.22
1991673.0,48.22
1991979.0,48.22
1992285.0,48.21
1992591.0,48.21
1992897.0,48.2
1993203.0,48.21
1993509.0,48.2
1993815.0,48.2
1994121.0,48.2
1994427.0,48.2
1994733.0,48.2
1995039.0,48.2
1995345.0,48.2
1995651.0,48.19
1995957.0,48.19
1996263.0,48.2
1996569.0,48.19
1996875.0,48.19
1997181.0,48.19
1997487.0,48.19
1997793.0,48.19
1998099.0,48.18
1998405.0,48.18
1998711.0,48.19
1999017.0,48.18
1999323.0,48.19
1999629.0,48.17
1999935.0,48.18
2000241.0,48.17
2000547.0,48.18
2000853.0,48.18
2001159.0,48.18
2001465.0,48.17
2001771.0,48.17
2002077.0,48.17
2002383.0,48.16
2002689.0,48.17
2002995.0,48.16
2003301.0,48.16
2003607.0,48.17
2003913.0,48.15
2004219.0,48.15
2004525.0,48.15
2004831.0,48.16
2005137.0,48.15
2005443.0,48.15
2005749.0,48.15
2006055.0,48.14
2006361.0,48.15
2006667.0,48.14
2006973.0,48.15
2007279.0,48.14
2007585.0,48.14
2007891.0,48.14
2008197.0,48.15
2008503.0,48.14
2008809.0,48.14
2009115.0,48.15
2009421.0,48.13
2009727.0,48.14
2010033.0,48.13
2010339.0,48.14
2010645.0,48.13
2010951.0,48.13
2011257.0,48.14
2011563.0,48.13
2011869.0,48.14
2012175.0,48.13
2012481.0,48.13
2012787.0,48.13
2013093.0,48.13
2013399.0,48.13
2013705.0,48.13
2014011.0,48.12
2014317.0,48.13
2014623.0,48.14
2014929.0,48.13
2015235.0,48.12
2015541.0,48.12
2015847.0,48.12
2016153.0,48.12
2016459.0,48.12
2016765.0,48.13
2017071.0,48.12
2017377.0,48.06
2017683.0,48.12
2017989.0,48.11
2018295.0,48.11
2018601.0,48.11
2018907.0,48.11
2019213.0,48.09
2019519.0,48.1
2019825.0,48.1
2020131.0,48.1
2020437.0,48.1
2020743.0,48.1
2021049.0,48.11
2021355.0,48.1
2021661.0,48.1
2021967.0,48.1
2022273.0,48.1
2022579.0,48.09
2022885.0,48.09
2023191.0,48.09
2023497.0,48.08
2023803.0,48.09
2024109.0,48.09
2024415.0,48.08
2024721.0,48.09
2025027.0,48.08
2025333.0,48.08
2025639.0,48.09
2025945.0,48.09
2026251.0,48.08
2026557.0,48.08
2026863.0,48.07
2027169.0,48.09
2027475.0,48.08
2027781.0,48.07
2028087.0,48.07
2028393.0,48.08
2028699.0,48.03
2029005.0,48.07
2029311.0,48.07
2029617.0,48.08
2029923.0,48.07
2030229.0,48.07
2030535.0,48.07
2030841.0,48.07
2031147.0,48.08
2031453.0,48.07
2031759.0,48.08
2032065.0,48.07
2032371.0,48.07
2032677.0,48.07
2032983.0,48.07
2033289.0,48.07
2033595.0,48.08
2033901.0,48.07
2034207.0,48.07
2034513.0,48.08
2034819.0,48.07
2035125.0,48.08
2035431.0,48.08
2035737.0,48.07
2036043.0,48.07
2036349.0,48.07
2036655.0,48.07
2036961.0,48.08
2037267.0,48.07
2037573.0,48.06
2037879.0,48.06
2038185.0,48.06
2038491.0,48.06
2038797.0,48.06
2039103.0,48.07
2039409.0,48.06
2039715.0,48.07
2040021.0,48.06
2040327.0,48.07
2040633.0,48.07
2040939.0,48.06
2041245.0,48.06
2041551.0,48.07
2041857.0,48.07
2042163.0,48.06
2042469.0,48.06
2042775.0,48.07
2043081.0,48.06
2043387.0,48.06
2043693.0,48.06
2043999.0,48.06
2044305.0,48.07
2044611.0,48.06
2044917.0,48.06
2045223.0,48.07
2045529.0,48.06
2045835.0,48.06
2046141.0,48.06
2046447.0,48.05
2046753.0,48.06
2047059.0,48.06
2047365.0,48.07
2047671.0,48.06
2047977.0,48.05
2048283.0,48.05
2048589.0,48.05
2048895.0,48.04
2049201.0,48.05
2049507.0,48.04
2049813.0,48.05
2050119.0,48.04
2050425.0,48.04
2050731.0,48.04
2051037.0,48.05
2051343.0,48.05
2051649.0,48.05
2051955.0,48.04
2052261.0,48.04
2052567.0,48.04
2052873.0,48.04
2053179.0,48.04
2053485.0,48.05
2053791.0,48.04
2054097.0,48.05
2054403.0,48.05
2054709.0,48.05
2055015.0,48.05
2055321.0,48.05
2055627.0,48.04
2055933.0,48.05
2056239.0,48.04
2056545.0,48.04
2056851.0,48.04
2057157.0,48.04
2057463.0,48.04
2057769.0,48.05
2058075.0,48.05
2058381.0,48.05
2058687.0,48.03
2058993.0,48.04
2059299.0,48.04
2059605.0,48.04
2059911.0,48.04
2060217.0,48.04
2060523.0,48.04
2060829.0,48.04
2061135.0,48.03
2061441.0,48.01
2061747.0,48.02
2062053.0,48.02
2062359.0,48.04
2062665.0,48.04
2062971.0,48.02
2063277.0,48.04
2063583.0,48.04
2063889.0,48.03
2064195.0,48.03
2064501.0,48.04
2064807.0,48.04
2065113.0,48.04
